Team,Group,Previous Appearances,Previous Titles,Previous Finals,Previous Semifinals,Current Ranking
Afghanistan,A,5,0,0,0,8
Australia,A,7,1,2,2,6
Bangladesh,A,7,0,0,0,10
England,A,7,1,2,1,2
India,A,7,1,2,1,1
New Zealand,A,7,0,1,2,4
Pakistan,A,7,1,2,3,3
South Africa,A,7,0,0,2,5
Sri Lanka,A,7,1,3,1,9
West Indies,A,7,2,2,2,7
Scotland,A,4,0,0,0,14
Namibia,A,1,0,0,0,16
