Date,Team1,Team2,Winner,Venue
09-11-2012, India , New Zealand,New Zealand,MA Chidambaram Stadium
09-10-2012, England , South Africa,no result,Old Trafford
09-10-2012, Australia , Pakistan,Australia,Dubai International Cricket Stadium
09-08-2012, England , South Africa,South Africa,Riverside Ground
09-07-2012, Australia , Pakistan,tie,Dubai International Cricket Stadium
09-05-2012, Australia , Pakistan,Pakistan,Dubai International Cricket Stadium
08-07-2012, Sri Lanka , India,India,Pallekele International Cricket Stadium
7-26-2012, Netherlands , Bangladesh,Netherlands,Sportpark Westvliet
7-25-2012, Netherlands , Bangladesh,Bangladesh,Sportpark Westvliet
7-18-2012, Ireland , Bangladesh,Bangladesh,Civil Service Cricket Club
07-01-2012, New Zealand , West Indies,West Indies,Central Broward Regional Park Stadium Turf Ground
6-30-2012, New Zealand , West Indies,West Indies,Central Broward Regional Park Stadium Turf Ground
6-24-2012, England , West Indies,England,Trent Bridge
06-03-2012, Sri Lanka , Pakistan,Pakistan,Mahinda Rajapaksa International Cricket Stadium
06-01-2012, Sri Lanka , Pakistan,Sri Lanka,Mahinda Rajapaksa International Cricket Stadium
3-30-2012, West Indies , Australia,West Indies,Kensington Oval
3-30-2012, South Africa , India,South Africa,New Wanderers Stadium
3-27-2012, West Indies , Australia,Australia,Beausejour Stadium
3-24-2012, Afghanistan , Ireland,Ireland,Dubai International Cricket Stadium
3-23-2012, Ireland , Netherlands,Ireland,Dubai International Cricket Stadium
3-23-2012, Canada , Scotland,Scotland,Dubai International Cricket Stadium
3-22-2012, Canada , Ireland,Ireland,Dubai International Cricket Stadium
3-18-2012, Ireland , Scotland,Ireland,Dubai International Cricket Stadium
3-18-2012, Afghanistan , Canada,Afghanistan,ICC Global Cricket Academy
3-14-2012, Ireland , Kenya,Ireland,Dubai International Cricket Stadium
3-14-2012, Afghanistan , Netherlands,Afghanistan,Dubai International Cricket Stadium
3-13-2012, Canada , Netherlands,Netherlands,Dubai International Cricket Stadium
2-27-2012, England , Pakistan,England,Sheikh Zayed Stadium
2-25-2012, England , Pakistan,England,Dubai International Cricket Stadium
2-24-2012, Kenya , Ireland,Ireland,Mombasa Sports Club Ground
