Rank,Team,Matches,Points,Rating
1,India,39,10484,269
2, England,39,10269,474
3,Pakistan,46,12225,266
4,New Zealand,38,9707,255
5, South Africa,35,8858,253
6,Australia,44,10949,249
7,West Indies,45,10578,235
8, Afghanistan,17,3951,232
9, Sri Lanka,34,7847,231
10,Bangladesh,37,8529,231
14,Scotland,24,4447,185
16,Namibia,25,4435,177
